💬 | settings.login | Đăng nhập | Sign In
💬 | settings.signOut | Đăng xuất | Sign Out
💬 | settings.syncStatus | Đã đồng bộ Cloud | Cloud synced
💬 | settings.notSynced | Chưa đồng bộ | Not synced
💬 | settings.syncing | Đang đồng bộ... | Syncing...
💬 | settings.signInGoogle | Đăng nhập với Google | Sign in with Google
💬 | settings.signInEmail | Email & Mật khẩu | Email & Password
💬 | settings.email | Email
💬 | settings.password | Mật khẩu | Password
💬 | settings.noAccount | Chưa có tài khoản? | No account yet?
💬 | settings.signUp | Đăng ký | Sign Up
💬 | timeline.title | Dòng thời gian | Timeline
💬 | timeline.noEvents | Chưa có hoạt động nào | No activities yet
💬 | timeline.today | Hôm nay | Today
💬 | timeline.yesterday | Hôm qua | Yesterday
💬 | timeline.thisWeek | Tuần này | This Week
💬 | timeline.earlier | Trước đó | Earlier
💬 | timeline.typeMemory | ký ức | memory
💬 | timeline.typeEvent | sự kiện | event
💬 | timeline.typeInteraction | tương tác | interaction
💬 | timeline.memoryCreated | Đã ghi lại ký ức | Recorded a memory
💬 | timeline.eventCreated | Đã thêm sự kiện | Added an event
💬 | timeline.interactionLogged | Đã ghi nhận tương tác | Logged an interaction
💬 | timeline.lastContact | Liên hệ lần cuối | Last contact
💬 | dashboard.lifeScoreHistory | Lịch sử Life Score | Life Score History
💬 | common.optional | Không bắt buộc | Optional
